date,temperature,humidity,lumnosity
2022-11-27 12:51:38.509,25.0,48.2,253
2022-11-27 12:51:36.866,25.0,48.2,253
2022-11-27 12:51:35.223,25.0,48.1,252
2022-11-27 12:51:33.579,25.0,48.2,252
2022-11-27 12:51:31.936,25.0,48.1,252
2022-11-27 12:51:30.292,26.9,48.3,253
2022-11-27 12:51:28.649,25.0,48.2,254
2022-11-27 12:51:27.006,25.0,48.2,253
2022-11-27 12:51:25.363,26.9,48.1,254
2022-11-27 12:51:23.720,26.9,48.4,254
2022-11-27 12:51:22.076,26.9,48.1,253
2022-11-27 12:51:20.432,26.9,48.2,253
2022-11-27 12:51:18.790,26.9,48.1,253
2022-11-27 12:51:17.147,26.9,48.2,254
2022-11-27 12:51:15.503,26.9,47.9,254
2022-11-27 12:51:13.861,26.9,48.0,254
2022-11-27 12:51:12.218,26.9,48.0,254
2022-11-27 12:51:10.574,26.9,48.0,255
2022-11-27 12:51:08.931,26.9,47.8,256
2022-11-27 12:51:07.288,26.9,48.0,255
2022-11-27 12:51:05.643,26.9,48.0,254
2022-11-27 12:51:04.001,26.9,48.2,253
2022-11-27 12:51:02.357,26.9,48.1,254
2022-11-27 12:51:00.714,26.9,48.0,255
2022-11-27 12:50:59.072,26.9,47.9,256
2022-11-27 12:50:57.429,26.9,48.1,256
2022-11-27 12:50:55.786,26.9,47.9,256
2022-11-27 12:50:54.142,26.9,48.1,256
2022-11-27 12:50:52.498,25.0,48.1,255
2022-11-27 12:50:50.855,26.9,48.1,255
2022-11-27 12:50:49.212,25.0,48.0,254
2022-11-27 12:50:47.568,26.9,48.3,252
2022-11-27 12:50:45.925,26.9,48.2,253
2022-11-27 12:50:44.282,25.0,48.4,255
2022-11-27 12:50:42.640,25.0,48.2,256
2022-11-27 12:50:40.997,25.0,48.2,255
2022-11-27 12:50:39.355,26.9,48.1,256
2022-11-27 12:50:37.712,26.9,48.2,255
2022-11-27 12:50:36.069,25.0,48.1,255
2022-11-27 12:50:34.425,26.9,48.2,255
2022-11-27 12:50:32.783,26.9,48.1,256
2022-11-27 12:50:31.139,26.9,47.9,255
2022-11-27 12:50:29.496,26.9,47.9,255
2022-11-27 12:50:27.853,26.9,48.0,255
2022-11-27 12:50:26.210,26.9,48.0,255
2022-11-27 12:50:26.568,26.9,48.0,255
2022-11-27 12:50:22.924,26.9,47.9,255
2022-11-27 12:50:21.282,26.9,48.0,256
2022-11-27 12:50:19.638,26.9,48.0,255
2022-11-27 12:50:17.995,26.9,48.0,254
2022-11-27 12:50:16.352,26.9,48.1,255
2022-11-27 12:50:14.708,26.9,47.9,255
2022-11-27 12:50:13.066,26.9,48.1,255
2022-11-27 12:50:11.423,26.9,48.1,255
2022-11-27 12:50:09.779,26.9,48.2,255
2022-11-27 12:50:08.137,26.9,48.0,255
2022-11-27 12:50:06.493,26.9,48.0,254
2022-11-27 12:50:04.850,26.9,48.2,255
